id;title;image;image_content_type
1;inasmuch;../fake-data/blob/pet.png;image/png
2;Elektronik yet behufs;../fake-data/blob/pet.png;image/png
3;faktisch;../fake-data/blob/pet.png;image/png
4;minus;../fake-data/blob/pet.png;image/png
5;namens unbeschadet spontan;../fake-data/blob/pet.png;image/png
6;fern;../fake-data/blob/pet.png;image/png
7;while durchfurchen;../fake-data/blob/pet.png;image/png
8;Ball frömmeln;../fake-data/blob/pet.png;image/png
9;pikant duh rädern;../fake-data/blob/pet.png;image/png
10;gebietsweise;../fake-data/blob/pet.png;image/png
